Cost,Path,Function-Type,Start
5955,"['Bruins', 'Panthers', 'Sabres', 'Senators', 'Maple Leafs', 'Red Wings', 'Canadiens', 'Bruins', 'Lightning']",Simple,Bruins
4993,"['Bruins', 'Sabres', 'Lightning', 'Panthers', 'Senators', 'Canadiens', 'Maple Leafs', 'Red Wings', 'Bruins']",Simple,Bruins
4694,"['Bruins', 'Senators', 'Red Wings', 'Lightning', 'Panthers', 'Bruins', 'Canadiens', 'Sabres', 'Maple Leafs']",Simple,Bruins
4594,"['Bruins', 'Panthers', 'Lightning', 'Sabres', 'Bruins', 'Senators', 'Canadiens', 'Maple Leafs', 'Red Wings']",Simple,Bruins
5061,"['Bruins', 'Senators', 'Maple Leafs', 'Canadiens', 'Sabres', 'Lightning', 'Panthers', 'Red Wings', 'Bruins']",Simple,Bruins
5762,"['Bruins', 'Senators', 'Bruins', 'Canadiens', 'Maple Leafs', 'Red Wings', 'Panthers', 'Sabres', 'Lightning']",Simple,Bruins
3867,"['Bruins', 'Canadiens', 'Maple Leafs', 'Bruins', 'Senators', 'Sabres', 'Red Wings', 'Panthers', 'Lightning']",Simple,Bruins
5394,"['Bruins', 'Red Wings', 'Sabres', 'Senators', 'Panthers', 'Lightning', 'Maple Leafs', 'Bruins', 'Canadiens']",Simple,Bruins
5312,"['Bruins', 'Senators', 'Red Wings', 'Canadiens', 'Panthers', 'Lightning', 'Maple Leafs', 'Sabres', 'Bruins']",Simple,Bruins
3958,"['Bruins', 'Canadiens', 'Sabres', 'Senators', 'Red Wings', 'Maple Leafs', 'Bruins', 'Lightning', 'Panthers']",Simple,Bruins
4434,"['Bruins', 'Canadiens', 'Senators', 'Maple Leafs', 'Lightning', 'Panthers', 'Red Wings', 'Sabres', 'Bruins']",Simple,Bruins
4981,"['Bruins', 'Maple Leafs', 'Senators', 'Bruins', 'Canadiens', 'Red Wings', 'Lightning', 'Panthers', 'Sabres']",Simple,Bruins
