Cost,Path,Function-Type,Start
7623,"['Jets', 'Wild', 'Blues', 'Coyotes', 'Stars', 'Avalanche', 'Predators', 'Jets', 'Blackhawks']",Simple,Jets
7548,"['Jets', 'Blackhawks', 'Jets', 'Stars', 'Coyotes', 'Avalanche', 'Predators', 'Wild', 'Blues']",Simple,Jets
5641,"['Jets', 'Wild', 'Blues', 'Blackhawks', 'Predators', 'Stars', 'Jets', 'Avalanche', 'Coyotes']",Simple,Jets
6480,"['Jets', 'Wild', 'Stars', 'Avalanche', 'Jets', 'Blackhawks', 'Predators', 'Blues', 'Coyotes']",Simple,Jets
6581,"['Jets', 'Avalanche', 'Coyotes', 'Jets', 'Wild', 'Blackhawks', 'Stars', 'Blues', 'Predators']",Simple,Jets
5661,"['Jets', 'Stars', 'Coyotes', 'Avalanche', 'Jets', 'Wild', 'Blackhawks', 'Blues', 'Predators']",Simple,Jets
7524,"['Jets', 'Wild', 'Blues', 'Jets', 'Stars', 'Coyotes', 'Predators', 'Blackhawks', 'Avalanche']",Simple,Jets
7696,"['Jets', 'Avalanche', 'Wild', 'Blackhawks', 'Blues', 'Stars', 'Coyotes', 'Predators', 'Jets']",Simple,Jets
6552,"['Jets', 'Wild', 'Jets', 'Blackhawks', 'Blues', 'Avalanche', 'Predators', 'Coyotes', 'Stars']",Simple,Jets
7234,"['Jets', 'Predators', 'Blackhawks', 'Stars', 'Avalanche', 'Jets', 'Wild', 'Blues', 'Coyotes']",Simple,Jets
6653,"['Jets', 'Blackhawks', 'Blues', 'Predators', 'Jets', 'Wild', 'Coyotes', 'Stars', 'Avalanche']",Simple,Jets
7322,"['Jets', 'Coyotes', 'Avalanche', 'Jets', 'Blackhawks', 'Blues', 'Predators', 'Wild', 'Stars']",Simple,Jets
7221,"['Jets', 'Blues', 'Avalanche', 'Stars', 'Coyotes', 'Blackhawks', 'Predators', 'Wild', 'Jets']",Simple,Jets
6685,"['Jets', 'Avalanche', 'Blues', 'Predators', 'Stars', 'Coyotes', 'Blackhawks', 'Wild', 'Jets']",Simple,Jets
7507,"['Jets', 'Predators', 'Wild', 'Blues', 'Jets', 'Blackhawks', 'Stars', 'Coyotes', 'Avalanche']",Simple,Jets
7605,"['Jets', 'Blackhawks', 'Predators', 'Jets', 'Blues', 'Coyotes', 'Avalanche', 'Stars', 'Wild']",Simple,Jets
6528,"['Jets', 'Wild', 'Blackhawks', 'Blues', 'Jets', 'Predators', 'Avalanche', 'Stars', 'Coyotes']",Simple,Jets
6497,"['Jets', 'Blues', 'Predators', 'Avalanche', 'Coyotes', 'Stars', 'Wild', 'Jets', 'Blackhawks']",Simple,Jets
4626,"['Jets', 'Wild', 'Jets', 'Blackhawks', 'Predators', 'Blues', 'Stars', 'Coyotes', 'Avalanche']",Simple,Jets
7226,"['Jets', 'Predators', 'Stars', 'Blackhawks', 'Coyotes', 'Avalanche', 'Blues', 'Wild', 'Jets']",Simple,Jets
6066,"['Jets', 'Wild', 'Blackhawks', 'Jets', 'Blues', 'Predators', 'Avalanche', 'Stars', 'Coyotes']",Simple,Jets
6640,"['Jets', 'Avalanche', 'Coyotes', 'Predators', 'Stars', 'Blues', 'Jets', 'Wild', 'Blackhawks']",Simple,Jets
5841,"['Jets', 'Blues', 'Stars', 'Coyotes', 'Avalanche', 'Predators', 'Blackhawks', 'Wild', 'Jets']",Simple,Jets
6018,"['Jets', 'Wild', 'Predators', 'Blues', 'Blackhawks', 'Avalanche', 'Coyotes', 'Stars', 'Jets']",Simple,Jets
6852,"['Jets', 'Blackhawks', 'Blues', 'Stars', 'Coyotes', 'Avalanche', 'Wild', 'Predators', 'Jets']",Simple,Jets
6094,"['Jets', 'Wild', 'Jets', 'Coyotes', 'Avalanche', 'Blues', 'Blackhawks', 'Stars', 'Predators']",Simple,Jets
5619,"['Jets', 'Blackhawks', 'Predators', 'Blues', 'Stars', 'Wild', 'Jets', 'Avalanche', 'Coyotes']",Simple,Jets
7472,"['Jets', 'Blackhawks', 'Wild', 'Jets', 'Predators', 'Avalanche', 'Stars', 'Coyotes', 'Blues']",Simple,Jets
5920,"['Jets', 'Avalanche', 'Coyotes', 'Stars', 'Predators', 'Blues', 'Wild', 'Blackhawks', 'Jets']",Simple,Jets
6240,"['Jets', 'Avalanche', 'Jets', 'Wild', 'Predators', 'Blackhawks', 'Blues', 'Stars', 'Coyotes']",Simple,Jets
5712,"['Jets', 'Blackhawks', 'Predators', 'Blues', 'Wild', 'Jets', 'Avalanche', 'Stars', 'Coyotes']",Simple,Jets
7009,"['Jets', 'Blackhawks', 'Predators', 'Jets', 'Stars', 'Blues', 'Wild', 'Avalanche', 'Coyotes']",Simple,Jets
6503,"['Jets', 'Blues', 'Predators', 'Blackhawks', 'Jets', 'Wild', 'Coyotes', 'Stars', 'Avalanche']",Simple,Jets
5840,"['Jets', 'Wild', 'Avalanche', 'Coyotes', 'Stars', 'Blackhawks', 'Predators', 'Blues', 'Jets']",Simple,Jets
