Start,End,Distance
Stars,Avalanche,781
Stars,Jets,1298
Stars,Blues,631
Stars,Predators,666
Stars,Wild,1121
Stars,Blackhawks,968
Stars,Coyotes,998
Avalanche,Jets,1236
Avalanche,Blues,893
Avalanche,Predators,1199
Avalanche,Wild,1092
Avalanche,Blackhawks,1121
Avalanche,Coyotes,624
Avalanche,Stars,780
Jets,Blues,1017
Jets,Predators,1338
Jets,Wild,366
Jets,Blackhawks,865
Jets,Coyotes,1915
Jets,Stars,1299
Jets,Avalanche,1236
Blues,Predators,307
Blues,Wild,690
Blues,Blackhawks,297
Blues,Coyotes,1389
Blues,Stars,630
Blues,Avalanche,894
Blues,Jets,1015
Predators,Wild,1013
Predators,Blackhawks,470
Predators,Coyotes,1568
Predators,Stars,664
Predators,Avalanche,1200
Predators,Jets,1339
Predators,Blues,308
Wild,Blackhawks,534
Wild,Coyotes,1700
Wild,Stars,1065
Wild,Avalanche,1091
Wild,Jets,365
Wild,Blues,686
Wild,Predators,1007
Blackhawks,Coyotes,1684
Blackhawks,Stars,968
Blackhawks,Avalanche,1120
Blackhawks,Jets,864
Blackhawks,Blues,297
Blackhawks,Predators,470
Blackhawks,Wild,538
Coyotes,Stars,998
Coyotes,Avalanche,624
Coyotes,Jets,1915
Coyotes,Blues,1388
Coyotes,Predators,1570
Coyotes,Wild,1706
Coyotes,Blackhawks,1684
