Cost,Path,Function-Type,Start,Iteration
1818,"['Devils', 'Rangers', 'Blue Jackets', 'Penguins', 'Devils', 'Flyers', 'Islanders', 'Capitals', 'Hurricanes']",Simple,Devils,1
1890,"['Devils', 'Flyers', 'Hurricanes', 'Penguins', 'Blue Jackets', 'Capitals', 'Islanders', 'Rangers', 'Devils']",Simple,Devils,2
2033,"['Devils', 'Islanders', 'Hurricanes', 'Rangers', 'Flyers', 'Devils', 'Capitals', 'Penguins', 'Blue Jackets']",Simple,Devils,3
1857,"['Devils', 'Islanders', 'Devils', 'Rangers', 'Capitals', 'Flyers', 'Penguins', 'Blue Jackets', 'Hurricanes']",Simple,Devils,4
1720,"['Devils', 'Islanders', 'Flyers', 'Rangers', 'Devils', 'Capitals', 'Penguins', 'Hurricanes', 'Blue Jackets']",Simple,Devils,5
2092,"['Devils', 'Blue Jackets', 'Hurricanes', 'Capitals', 'Islanders', 'Flyers', 'Devils', 'Rangers', 'Penguins']",Simple,Devils,6
1808,"['Devils', 'Capitals', 'Flyers', 'Hurricanes', 'Blue Jackets', 'Penguins', 'Devils', 'Rangers', 'Islanders']",Simple,Devils,7
1814,"['Devils', 'Flyers', 'Devils', 'Blue Jackets', 'Penguins', 'Hurricanes', 'Capitals', 'Islanders', 'Rangers']",Simple,Devils,8
1988,"['Devils', 'Hurricanes', 'Capitals', 'Flyers', 'Penguins', 'Blue Jackets', 'Devils', 'Rangers', 'Islanders']",Simple,Devils,9
1632,"['Devils', 'Capitals', 'Hurricanes', 'Blue Jackets', 'Penguins', 'Flyers', 'Islanders', 'Rangers', 'Devils']",Simple,Devils,10
2150,"['Devils', 'Rangers', 'Islanders', 'Hurricanes', 'Flyers', 'Capitals', 'Penguins', 'Blue Jackets', 'Devils']",Simple,Devils,11
2182,"['Devils', 'Blue Jackets', 'Penguins', 'Capitals', 'Rangers', 'Islanders', 'Devils', 'Hurricanes', 'Flyers']",Simple,Devils,12
1768,"['Devils', 'Islanders', 'Hurricanes', 'Blue Jackets', 'Penguins', 'Capitals', 'Flyers', 'Devils', 'Rangers']",Simple,Devils,13
1933,"['Devils', 'Capitals', 'Rangers', 'Islanders', 'Devils', 'Blue Jackets', 'Penguins', 'Flyers', 'Hurricanes']",Simple,Devils,14
2042,"['Devils', 'Penguins', 'Capitals', 'Hurricanes', 'Blue Jackets', 'Devils', 'Islanders', 'Rangers', 'Flyers']",Simple,Devils,15
1602,"['Devils', 'Rangers', 'Devils', 'Flyers', 'Islanders', 'Capitals', 'Blue Jackets', 'Penguins', 'Hurricanes']",Simple,Devils,16
1923,"['Devils', 'Blue Jackets', 'Penguins', 'Capitals', 'Devils', 'Rangers', 'Flyers', 'Islanders', 'Hurricanes']",Simple,Devils,17
2026,"['Devils', 'Islanders', 'Devils', 'Flyers', 'Rangers', 'Blue Jackets', 'Hurricanes', 'Penguins', 'Capitals']",Simple,Devils,18
2031,"['Devils', 'Rangers', 'Islanders', 'Flyers', 'Capitals', 'Penguins', 'Hurricanes', 'Blue Jackets', 'Devils']",Simple,Devils,19
