Cost,Path,Function-Type,Start,Iteration 
5563,"['Golden Knights', 'Sharks', 'Kings', 'Ducks', 'Kraken', 'Flames', 'Canucks', 'Oilers', 'Golden Knights']",Simple,Golden Knights,1
5664,"['Golden Knights', 'Flames', 'Oilers', 'Kraken', 'Golden Knights', 'Canucks', 'Kings', 'Sharks', 'Ducks']",Simple,Golden Knights,2
4135,"['Golden Knights', 'Kings', 'Ducks', 'Golden Knights', 'Sharks', 'Canucks', 'Flames', 'Kraken', 'Oilers']",Simple,Golden Knights,3
5654,"['Golden Knights', 'Oilers', 'Canucks', 'Flames', 'Golden Knights', 'Kings', 'Ducks', 'Sharks', 'Kraken']",Simple,Golden Knights,4
3994,"['Golden Knights', 'Sharks', 'Kings', 'Ducks', 'Golden Knights', 'Flames', 'Canucks', 'Kraken', 'Oilers']",Simple,Golden Knights,5
4771,"['Golden Knights', 'Sharks', 'Kraken', 'Golden Knights', 'Kings', 'Ducks', 'Oilers', 'Canucks', 'Flames']",Simple,Golden Knights,6
4499,"['Golden Knights', 'Ducks', 'Kings', 'Golden Knights', 'Kraken', 'Canucks', 'Sharks', 'Oilers', 'Flames']",Simple,Golden Knights,7
5243,"['Golden Knights', 'Ducks', 'Kings', 'Sharks', 'Flames', 'Golden Knights', 'Kraken', 'Canucks', 'Oilers']",Simple,Golden Knights,8
5019,"['Golden Knights', 'Sharks', 'Golden Knights', 'Kings', 'Ducks', 'Oilers', 'Canucks', 'Flames', 'Kraken']",Simple,Golden Knights,9
5586,"['Golden Knights', 'Ducks', 'Kings', 'Golden Knights', 'Canucks', 'Kraken', 'Oilers', 'Sharks', 'Flames']",Simple,Golden Knights,10
4613,"['Golden Knights', 'Kraken', 'Canucks', 'Flames', 'Oilers', 'Kings', 'Ducks', 'Golden Knights', 'Sharks']",Simple,Golden Knights,11
5560,"['Golden Knights', 'Sharks', 'Kings', 'Ducks', 'Canucks', 'Oilers', 'Flames', 'Golden Knights', 'Kraken']",Simple,Golden Knights,12
5486,"['Golden Knights', 'Oilers', 'Kraken', 'Flames', 'Canucks', 'Golden Knights', 'Kings', 'Ducks', 'Sharks']",Simple,Golden Knights,13
5190,"['Golden Knights', 'Sharks', 'Golden Knights', 'Ducks', 'Kings', 'Oilers', 'Kraken', 'Flames', 'Canucks']",Simple,Golden Knights,14
5073,"['Golden Knights', 'Sharks', 'Canucks', 'Kings', 'Ducks', 'Golden Knights', 'Kraken', 'Flames', 'Oilers']",Simple,Golden Knights,15
5777,"['Golden Knights', 'Kings', 'Golden Knights', 'Canucks', 'Flames', 'Kraken', 'Oilers', 'Sharks', 'Ducks']",Simple,Golden Knights,16
4834,"['Golden Knights', 'Oilers', 'Canucks', 'Kraken', 'Golden Knights', 'Sharks', 'Kings', 'Ducks', 'Flames']",Simple,Golden Knights,17
4489,"['Golden Knights', 'Canucks', 'Flames', 'Oilers', 'Kraken', 'Sharks', 'Golden Knights', 'Ducks', 'Kings']",Simple,Golden Knights,18
4300,"['Golden Knights', 'Canucks', 'Flames', 'Oilers', 'Kraken', 'Sharks', 'Kings', 'Ducks', 'Golden Knights']",Simple,Golden Knights,19
4743,"['Golden Knights', 'Kraken', 'Canucks', 'Oilers', 'Flames', 'Kings', 'Sharks', 'Ducks', 'Golden Knights']",Simple,Golden Knights,20
5504,"['Golden Knights', 'Canucks', 'Flames', 'Oilers', 'Sharks', 'Ducks', 'Kraken', 'Golden Knights', 'Kings']",Simple,Golden Knights,21
4976,"['Golden Knights', 'Ducks', 'Kraken', 'Canucks', 'Flames', 'Oilers', 'Kings', 'Sharks', 'Golden Knights']",Simple,Golden Knights,22
5250,"['Golden Knights', 'Kraken', 'Sharks', 'Golden Knights', 'Ducks', 'Kings', 'Flames', 'Oilers', 'Canucks']",Simple,Golden Knights,23
5390,"['Golden Knights', 'Oilers', 'Flames', 'Kings', 'Ducks', 'Canucks', 'Kraken', 'Golden Knights', 'Sharks']",Simple,Golden Knights,24
4894,"['Golden Knights', 'Canucks', 'Kraken', 'Oilers', 'Flames', 'Kings', 'Ducks', 'Sharks', 'Golden Knights']",Simple,Golden Knights,25
5842,"['Golden Knights', 'Kraken', 'Kings', 'Sharks', 'Golden Knights', 'Ducks', 'Oilers', 'Flames', 'Canucks']",Simple,Golden Knights,26
5411,"['Golden Knights', 'Kraken', 'Golden Knights', 'Ducks', 'Sharks', 'Flames', 'Oilers', 'Canucks', 'Kings']",Simple,Golden Knights,27
6141,"['Golden Knights', 'Oilers', 'Flames', 'Kings', 'Sharks', 'Kraken', 'Golden Knights', 'Ducks', 'Canucks']",Simple,Golden Knights,28
4588,"['Golden Knights', 'Kings', 'Ducks', 'Canucks', 'Flames', 'Oilers', 'Kraken', 'Sharks', 'Golden Knights']",Simple,Golden Knights,29
4231,"['Golden Knights', 'Kraken', 'Canucks', 'Flames', 'Oilers', 'Golden Knights', 'Kings', 'Ducks', 'Sharks']",Simple,Golden Knights,30
3776,"['Golden Knights', 'Kings', 'Sharks', 'Canucks', 'Kraken', 'Golden Knights', 'Ducks', 'Flames', 'Oilers']",Simple,Golden Knights,31
6007,"['Golden Knights', 'Canucks', 'Flames', 'Kraken', 'Golden Knights', 'Oilers', 'Sharks', 'Kings', 'Ducks']",Simple,Golden Knights,32
4388,"['Golden Knights', 'Ducks', 'Kraken', 'Canucks', 'Oilers', 'Flames', 'Golden Knights', 'Kings', 'Sharks']",Simple,Golden Knights,33
